PATHWAY_ID1,PATHWAY_ID2,NUMBER_OF_OVERLAPPING_GENES,OVERLAPPING_GENES
hsa00010,hsa00020,7,hsa:1737;hsa:1738;hsa:5161;hsa:5106;hsa:5162;hsa:5105;hsa:5160
hsa00010,hsa00030,11,hsa:226;hsa:2203;hsa:230;hsa:5213;hsa:5211;hsa:5214;hsa:2821;hsa:8789;hsa:5236;hsa:55276;hsa:229
hsa00010,hsa00040,1,hsa:10327
hsa00010,hsa00051,13,hsa:226;hsa:2203;hsa:230;hsa:5213;hsa:3101;hsa:3099;hsa:5211;hsa:5214;hsa:8789;hsa:3098;hsa:7167;hsa:80201;hsa:229
hsa00010,hsa00052,14,hsa:57818;hsa:5213;hsa:3101;hsa:3099;hsa:5211;hsa:5214;hsa:2645;hsa:3098;hsa:5236;hsa:92579;hsa:2538;hsa:130589;hsa:80201;hsa:55276
hsa00010,hsa00053,6,hsa:223;hsa:219;hsa:217;hsa:224;hsa:10327;hsa:501
hsa00010,hsa00071,12,hsa:125;hsa:223;hsa:219;hsa:128;hsa:126;hsa:127;hsa:131;hsa:217;hsa:224;hsa:130;hsa:124;hsa:501
hsa00010,hsa00230,2,hsa:5236;hsa:55276
hsa00010,hsa00260,6,hsa:1738;hsa:669;hsa:5223;hsa:5224;hsa:441531;hsa:501
hsa00010,hsa00270,5,hsa:160287;hsa:92483;hsa:3948;hsa:3939;hsa:3945
hsa00010,hsa00280,6,hsa:1738;hsa:223;hsa:219;hsa:217;hsa:224;hsa:501
hsa00010,hsa00310,6,hsa:1738;hsa:223;hsa:219;hsa:217;hsa:224;hsa:501
hsa00010,hsa00330,5,hsa:223;hsa:219;hsa:217;hsa:224;hsa:501
hsa00010,hsa00340,8,hsa:223;hsa:222;hsa:219;hsa:217;hsa:224;hsa:218;hsa:221;hsa:501
hsa00010,hsa00350,10,hsa:125;hsa:222;hsa:128;hsa:126;hsa:127;hsa:131;hsa:130;hsa:218;hsa:221;hsa:124
hsa00010,hsa00360,3,hsa:218;hsa:221;hsa:222
hsa00010,hsa00380,6,hsa:1738;hsa:223;hsa:219;hsa:217;hsa:224;hsa:501
hsa00010,hsa00410,8,hsa:223;hsa:222;hsa:219;hsa:217;hsa:224;hsa:218;hsa:221;hsa:501
hsa00010,hsa00500,11,hsa:57818;hsa:3101;hsa:3099;hsa:2821;hsa:2645;hsa:3098;hsa:5236;hsa:92579;hsa:2538;hsa:80201;hsa:55276
hsa00010,hsa00520,8,hsa:3101;hsa:3099;hsa:2821;hsa:2645;hsa:3098;hsa:5236;hsa:80201;hsa:55276
hsa00010,hsa00524,5,hsa:3101;hsa:3099;hsa:2645;hsa:3098;hsa:80201
hsa00010,hsa00561,6,hsa:223;hsa:219;hsa:217;hsa:224;hsa:10327;hsa:501
hsa00010,hsa00562,2,hsa:7167;hsa:9562
hsa00010,hsa00620,29,hsa:1737;hsa:125;hsa:3948;hsa:3939;hsa:3945;hsa:10327;hsa:501;hsa:128;hsa:126;hsa:127;hsa:5315;hsa:5105;hsa:5162;hsa:160287;hsa:1738;hsa:5161;hsa:223;hsa:219;hsa:5313;hsa:131;hsa:217;hsa:5160;hsa:55902;hsa:130;hsa:84532;hsa:124;hsa:92483;hsa:5106;hsa:224
hsa00010,hsa00630,3,hsa:55902;hsa:1738;hsa:84532
hsa00010,hsa00640,8,hsa:1738;hsa:160287;hsa:92483;hsa:3948;hsa:3939;hsa:3945;hsa:55902;hsa:84532
hsa00010,hsa00670,2,hsa:1738;hsa:501
hsa00010,hsa00770,3,hsa:224;hsa:219;hsa:217
hsa00010,hsa00785,5,hsa:1737;hsa:1738;hsa:5161;hsa:5162;hsa:5160
hsa00010,hsa00830,7,hsa:125;hsa:128;hsa:126;hsa:127;hsa:131;hsa:130;hsa:124
