Gene_ID,Gene_Name,Drug_ID,Drug_Name
hsa:5289,"PIK3C3, VPS34, hVps34; phosphatidylinositol 3-kinase catalytic subunit type 3",dr:D05784,Safingol (USAN/INN)
hsa:5289,"PIK3C3, VPS34, hVps34; phosphatidylinositol 3-kinase catalytic subunit type 3",dr:D05785,Safingol hydrochloride (USAN)
hsa:5289,"PIK3C3, VPS34, hVps34; phosphatidylinositol 3-kinase catalytic subunit type 3",dr:D11319,Fimepinostat (USAN/INN)
hsa:5693,"PSMB5, LMPX, MB1; proteasome 20S subunit beta 5",dr:D03150,Bortezomib (JAN/USAN/INN);
hsa:5693,"PSMB5, LMPX, MB1; proteasome 20S subunit beta 5",dr:D08880,Carfilzomib (JAN/USAN/INN);
hsa:5693,"PSMB5, LMPX, MB1; proteasome 20S subunit beta 5",dr:D09640,Marizomib (USAN/INN)
hsa:5693,"PSMB5, LMPX, MB1; proteasome 20S subunit beta 5",dr:D10110,Delanzomib (USAN)
hsa:5693,"PSMB5, LMPX, MB1; proteasome 20S subunit beta 5",dr:D10130,Ixazomib (USAN)
hsa:5693,"PSMB5, LMPX, MB1; proteasome 20S subunit beta 5",dr:D10131,Ixazomib citrate (JAN/USAN);
hsa:5693,"PSMB5, LMPX, MB1; proteasome 20S subunit beta 5",dr:D10318,Oprozomib (USAN/INN)
hsa:5693,"PSMB5, LMPX, MB1; proteasome 20S subunit beta 5",dr:D12311,Bortezomib hydrate (JAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D00491,Paclitaxel (JAN/USP/INN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D00570,Colchicine (JP18/USP);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D01068,Vinblastine sulfate (JP18/USP);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D01769,Vindesine sulfate (JAN/USAN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D01919,Soblidotin (JAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D01935,Vinorelbine tartrate (USP);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D02165,Docetaxel (USP);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D02197,Vincristine sulfate (JP18/USP);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D02398,Estramustine phosphate sodium (USAN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D03059,Batabulin sodium (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D03364,Cantuzumab mertansine (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D04066,Estramustine (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D04645,Ixabepilone (JAN/USAN/INN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D04864,Maytansine (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D05062,Mivobulin isethionate (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D05333,Paclitaxel poliglumex (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D06001,Taltobulin (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D06009,Tasidotin hydrochloride (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D06304,Vindesine (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D06305,Vinepidine sulfate (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D06306,Vinglycinate sulfate (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D06307,Vinleurosine sulfate (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D06308,Vinrosidine sulfate (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D06309,Vinzolidine sulfate (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D06397,Estramustine phosphate sodium hydrate (JAN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D06560,Batabulin (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D06576,Cevipabulin fumarate (USAN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D07866,Docetaxel (JAN/INN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D08675,Vinblastine (INN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D08679,Vincristine (INN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D08680,Vinorelbine (INN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D08889,Cevipabulin succinate (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D08914,Eribulin mesylate (USAN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D09032,Vinflunine ditartrate (USAN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D09587,Brentuximab vedotin (USAN/INN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D09691,Vedotin (USAN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D09755,Cabazitaxel (USAN/INN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D09912,Glembatumumab vedotin (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D09927,Lorvotuzumab mertansine (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D09980,Trastuzumab emtansine (USAN/INN);
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D10013,Indibulin (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D10029,Verubulin (USAN/INN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D10030,Verubulin hydrochloride (USAN)
hsa:203068,"TUBB, CDCBM6, CSCSC1, M40, OK/SW-cl.56, TUBB1, TUBB5; tubulin beta class I",dr:D10073,Lexibulin (USAN)
